Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000250	0.004928	0.001775	0.024335	0.024590	
2.000000	0.000250	0.001658	0.001648	0.035435	0.054098	
3.000000	0.000250	0.001638	0.001650	0.042874	0.067213	
4.000000	0.000250	0.001662	0.001691	0.047241	0.052459	
5.000000	0.000250	0.001609	0.001965	0.066585	0.052459	
6.000000	0.000250	0.001618	0.001655	0.083399	0.101639	
7.000000	0.000250	0.001602	0.001711	0.112578	0.114754	
8.000000	0.000250	0.001575	0.001704	0.146453	0.203279	
9.000000	0.000250	0.001558	0.001563	0.174647	0.216393	
10.000000	0.000250	0.001543	0.001704	0.196355	0.278689	
11.000000	0.000250	0.001523	0.001737	0.230985	0.168852	
12.000000	0.000250	0.001503	0.001590	0.269754	0.365574	
13.000000	0.000250	0.001482	0.001744	0.295074	0.298361	
14.000000	0.000250	0.001465	0.001753	0.313974	0.291803	
15.000000	0.000250	0.001444	0.001492	0.335468	0.403279	
16.000000	0.000250	0.001422	0.001588	0.382447	0.414754	
17.000000	0.000250	0.001415	0.001919	0.378883	0.457377	
18.000000	0.000250	0.001401	0.001885	0.403465	0.468852	
19.000000	0.000250	0.001389	0.001579	0.419770	0.500000	
20.000000	0.000250	0.001376	0.001949	0.426437	0.500000	
21.000000	0.000250	0.001372	0.001666	0.440607	0.503279	
22.000000	0.000250	0.001350	0.001597	0.452857	0.590164	
23.000000	0.000250	0.001345	0.001769	0.462972	0.540984	
24.000000	0.000250	0.001334	0.001896	0.486190	0.575410	
25.000000	0.000250	0.001317	0.001748	0.493678	0.611475	
26.000000	0.000250	0.001302	0.001607	0.514187	0.649180	
27.000000	0.000250	0.001290	0.001593	0.521856	0.631148	
28.000000	0.000250	0.001281	0.001334	0.533251	0.696721	
29.000000	0.000250	0.001276	0.001485	0.540493	0.660656	
30.000000	0.000250	0.001250	0.001390	0.558177	0.695082	
31.000000	0.000250	0.001232	0.001320	0.580755	0.734426	
32.000000	0.000250	0.001222	0.001164	0.589048	0.772131	
33.000000	0.000250	0.001213	0.001809	0.592808	0.709836	
34.000000	0.000250	0.001193	0.001768	0.616026	0.698361	
35.000000	0.000250	0.001174	0.001556	0.623547	0.772131	
36.000000	0.000250	0.001159	0.001862	0.638177	0.757377	
37.000000	0.000250	0.001145	0.001546	0.645386	0.690164	
38.000000	0.000250	0.001125	0.001525	0.671511	0.791803	
39.000000	0.000250	0.001126	0.001507	0.672151	0.727869	
40.000000	0.000250	0.001096	0.001236	0.695337	0.818033	
41.000000	0.000250	0.001107	0.001384	0.694532	0.788525	
42.000000	0.000250	0.001086	0.001659	0.705008	0.819672	
43.000000	0.000250	0.001066	0.001417	0.722036	0.824590	
44.000000	0.000250	0.001070	0.002038	0.726601	0.801639	
45.000000	0.000250	0.001057	0.001390	0.734006	0.816393	
46.000000	0.000250	0.001043	0.005945	0.740591	0.822951
47.000000	0.000250	0.001053	0.001415	0.735451	0.836066	
48.000000	0.000250	0.001022	0.001212	0.759228	0.839344	
49.000000	0.000250	0.001000	0.001064	0.772315	0.818033	
50.000000	0.000250	0.001024	0.001354	0.750115	0.803279	
51.000000	0.000250	0.000990	0.001646	0.779031	0.829508	
52.000000	0.000250	0.000984	0.001187	0.790115	0.847541	
53.000000	0.000250	0.000993	0.001335	0.785419	0.827869	
54.000000	0.000250	0.000964	0.001132	0.786092	0.824590	
55.000000	0.000250	0.000949	0.001412	0.801642	0.836066	
56.000000	0.000250	0.000940	0.001128	0.804663	0.852459	
57.000000	0.000250	0.000954	0.001503	0.799787	0.818033	
58.000000	0.000250	0.000935	0.001278	0.807635	0.845902	
59.000000	0.000250	0.000938	0.001145	0.797783	0.839344	
60.000000	0.000250	0.000924	0.001313	0.811133	0.845902	
61.000000	0.000025	0.000781	0.000788	0.835304	0.878689	
62.000000	0.000025	0.000759	0.000788	0.843695	0.875410	
63.000000	0.000025	0.000747	0.000785	0.845599	0.881967	
64.000000	0.000025	0.000753	0.000783	0.843054	0.883606	
65.000000	0.000025	0.000746	0.000781	0.848440	0.895082	
66.000000	0.000025	0.000739	0.000783	0.858292	0.880328	
67.000000	0.000025	0.000741	0.000771	0.849984	0.885246	
68.000000	0.000025	0.000748	0.000774	0.846240	0.880328	
69.000000	0.000025	0.000727	0.000773	0.863284	0.881967	
70.000000	0.000025	0.000734	0.000773	0.855041	0.895082	
71.000000	0.000025	0.000727	0.000774	0.858292	0.891803	
72.000000	0.000025	0.000735	0.000769	0.855468	0.895082	
73.000000	0.000025	0.000723	0.000774	0.856420	0.896721	
74.000000	0.000025	0.000715	0.000780	0.862627	0.886885	
75.000000	0.000025	0.000712	0.000765	0.870624	0.898361	
76.000000	0.000025	0.000715	0.000767	0.870476	0.891803	
