Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000250	0.009933	0.000852	0.001492	0.000000	
2.000000	0.000250	0.000788	0.000788	0.003505	0.006557	
3.000000	0.000250	0.000770	0.000776	0.010221	0.008197	
4.000000	0.000250	0.000760	0.000770	0.019206	0.013115	
5.000000	0.000250	0.000753	0.000768	0.029309	0.018033	
6.000000	0.000250	0.000754	0.000766	0.035487	0.049180	
7.000000	0.000250	0.000750	0.000768	0.046101	0.047541	
8.000000	0.000250	0.000751	0.000764	0.044676	0.045902	
9.000000	0.000250	0.000749	0.000763	0.052834	0.040984	
10.000000	0.000250	0.000749	0.000762	0.049019	0.055738	
11.000000	0.000250	0.000748	0.000762	0.056716	0.052459	
12.000000	0.000250	0.000748	0.000762	0.059974	0.063934	
13.000000	0.000250	0.000747	0.000764	0.062328	0.063934	
14.000000	0.000250	0.000747	0.000760	0.059759	0.059016	
15.000000	0.000250	0.000747	0.000760	0.064375	0.070492	
16.000000	0.000250	0.000748	0.000760	0.070078	0.054098	
17.000000	0.000250	0.000745	0.000759	0.070340	0.060656	
18.000000	0.000250	0.000742	0.000761	0.073698	0.054098	
19.000000	0.000250	0.000746	0.000759	0.071875	0.080328	
20.000000	0.000250	0.000745	0.000758	0.078668	0.060656	
21.000000	0.000250	0.000743	0.000758	0.079270	0.100000	
22.000000	0.000250	0.000743	0.000772	0.080048	0.026230	
23.000000	0.000250	0.000741	0.000757	0.098706	0.103279	
24.000000	0.000250	0.000741	0.000752	0.110065	0.121311	
25.000000	0.000250	0.000740	0.000762	0.118705	0.075410	
26.000000	0.000250	0.000739	0.000751	0.119323	0.126230	
27.000000	0.000250	0.000738	0.000753	0.127367	0.149180	
28.000000	0.000250	0.000740	0.000757	0.134686	0.121311	
29.000000	0.000250	0.000735	0.000741	0.142577	0.180328	
30.000000	0.000250	0.000734	0.000748	0.151105	0.181967	
31.000000	0.000250	0.000736	0.000739	0.167007	0.232787	
32.000000	0.000250	0.000731	0.000739	0.174870	0.203279	
33.000000	0.000250	0.000727	0.000739	0.181047	0.214754	
34.000000	0.000250	0.000727	0.000744	0.183796	0.190164	
35.000000	0.000250	0.000723	0.000734	0.207630	0.254098	
36.000000	0.000250	0.000724	0.000727	0.202589	0.296721	
37.000000	0.000250	0.000720	0.000723	0.228601	0.300000	
38.000000	0.000250	0.000716	0.000719	0.230626	0.319672	
39.000000	0.000250	0.000717	0.000724	0.234597	0.283607	
40.000000	0.000250	0.000714	0.000732	0.235942	0.244262	
41.000000	0.000250	0.000710	0.000729	0.252000	0.270492	
42.000000	0.000250	0.000707	0.000712	0.269662	0.342623	
43.000000	0.000250	0.000703	0.000711	0.277382	0.362295	
44.000000	0.000250	0.000701	0.000717	0.289559	0.301639	
45.000000	0.000250	0.000701	0.000696	0.294094	0.354098	
46.000000	0.000250	0.000694	0.000698	0.302028	0.352459	
47.000000	0.000250	0.000702	0.000700	0.279597	0.367213	
48.000000	0.000250	0.000688	0.000691	0.320470	0.385246	
49.000000	0.000250	0.000686	0.000687	0.329408	0.383607	
50.000000	0.000250	0.000691	0.000697	0.309198	0.385246	
51.000000	0.000250	0.000683	0.000682	0.330869	0.393443	
52.000000	0.000250	0.000685	0.000698	0.343192	0.368852	
53.000000	0.000250	0.000685	0.000719	0.343057	0.359016	
54.000000	0.000250	0.000681	0.000683	0.345065	0.409836	
55.000000	0.000250	0.000675	0.000683	0.348926	0.395082	
56.000000	0.000250	0.000675	0.000682	0.365796	0.393443	
57.000000	0.000250	0.000673	0.000690	0.359553	0.426230	
58.000000	0.000250	0.000669	0.000673	0.383970	0.467213	
59.000000	0.000250	0.000668	0.000668	0.388596	0.459016	
60.000000	0.000250	0.000669	0.000673	0.375425	0.452459	
61.000000	0.000025	0.000652	0.000643	0.399657	0.509836	
62.000000	0.000025	0.000641	0.000638	0.429490	0.519672	
63.000000	0.000025	0.000640	0.000637	0.429750	0.521311	
64.000000	0.000025	0.000639	0.000636	0.422685	0.524590	
65.000000	0.000025	0.000641	0.000633	0.433022	0.531148	
66.000000	0.000025	0.000633	0.000650	0.447480	0.478689	
67.000000	0.000025	0.000630	0.000629	0.453669	0.537705	
68.000000	0.000025	0.000630	0.000632	0.439806	0.532787	
69.000000	0.000025	0.000630	0.000634	0.446187	0.526230	
70.000000	0.000025	0.000626	0.000630	0.465010	0.545902	
71.000000	0.000025	0.000632	0.000633	0.452173	0.545902	
72.000000	0.000025	0.000630	0.000625	0.439708	0.552459	
73.000000	0.000025	0.000630	0.000628	0.444106	0.540984	
74.000000	0.000025	0.000631	0.000629	0.442162	0.529508	
