Epoch	LR	Train Loss	Val Loss	Train Acc	Val Acc	
1.000000	0.000250	0.010068	0.001891	0.021298	0.024590	
2.000000	0.000250	0.001728	0.001716	0.032023	0.019672	
3.000000	0.000250	0.001628	0.001717	0.040804	0.021311	
4.000000	0.000250	0.001600	0.001687	0.042766	0.034426	
5.000000	0.000250	0.001605	0.001655	0.046575	0.037705	
6.000000	0.000250	0.001590	0.001739	0.052188	0.062295	
7.000000	0.000250	0.001643	0.001768	0.058975	0.040984	
8.000000	0.000250	0.001589	0.001704	0.071728	0.078689	
9.000000	0.000250	0.001636	0.001864	0.079159	0.047541	
10.000000	0.000250	0.001617	0.001710	0.085597	0.103279	
11.000000	0.000250	0.001636	0.001718	0.090932	0.131148	
12.000000	0.000250	0.001583	0.001650	0.112661	0.139344	
13.000000	0.000250	0.001604	0.001790	0.120951	0.124590	
14.000000	0.000250	0.001591	0.001660	0.145407	0.203279	
15.000000	0.000250	0.001593	0.001593	0.162036	0.188525	
16.000000	0.000250	0.001570	0.001688	0.168074	0.170492	
17.000000	0.000250	0.001551	0.001574	0.178322	0.204918	
18.000000	0.000250	0.001535	0.001607	0.198728	0.188525	
19.000000	0.000250	0.001525	0.001458	0.202844	0.293443	
20.000000	0.000250	0.001533	0.001440	0.221759	0.326230	
21.000000	0.000250	0.001515	0.001398	0.246086	0.370492	
22.000000	0.000250	0.001492	0.001435	0.286724	0.365574	
23.000000	0.000250	0.001493	0.001519	0.293527	0.372131	
24.000000	0.000250	0.001463	0.001506	0.307187	0.403279	
25.000000	0.000250	0.001456	0.001360	0.326945	0.424590	
26.000000	0.000250	0.001445	0.001522	0.338762	0.413115	
27.000000	0.000250	0.001443	0.001548	0.357967	0.393443	
28.000000	0.000250	0.001416	0.001362	0.378100	0.478689	
29.000000	0.000250	0.001402	0.001939	0.391418	0.440984	
30.000000	0.000250	0.001397	0.001302	0.402783	0.522951	
31.000000	0.000250	0.001378	0.001487	0.411953	0.500000	
32.000000	0.000250	0.001377	0.001411	0.415421	0.536066	
33.000000	0.000250	0.001372	0.001447	0.428956	0.539344	
34.000000	0.000250	0.001359	0.001295	0.430314	0.583607	
35.000000	0.000250	0.001348	0.001280	0.450516	0.590164	
36.000000	0.000250	0.001343	0.001453	0.450441	0.583607	
37.000000	0.000250	0.001331	0.001306	0.465483	0.606557	
38.000000	0.000250	0.001322	0.001697	0.476312	0.588525	
39.000000	0.000250	0.001305	0.001601	0.485456	0.608197	
40.000000	0.000250	0.001318	0.001317	0.484794	0.626230	
41.000000	0.000250	0.001283	0.002298	0.508107	0.621312	
42.000000	0.000250	0.001277	0.002049	0.525447	0.618033	
43.000000	0.000250	0.001263	0.001852	0.540889	0.663934	
44.000000	0.000250	0.001259	0.001170	0.548214	0.722951	
45.000000	0.000250	0.001241	0.001706	0.559023	0.681967	
46.000000	0.000250	0.001236	0.001168	0.571551	0.706557	
47.000000	0.000250	0.001217	0.001513	0.586460	0.662295	
48.000000	0.000250	0.001223	0.002152	0.593533	0.662295	
49.000000	0.000250	0.001202	0.003178	0.590644	0.714754	
50.000000	0.000250	0.001175	0.001809	0.618344	0.729508	
51.000000	0.000250	0.001173	0.001207	0.620552	0.767213	
52.000000	0.000250	0.001177	0.001380	0.622465	0.775410	
53.000000	0.000250	0.001154	0.002182	0.627815	0.737705	
54.000000	0.000250	0.001134	0.001120	0.642007	0.803279	
55.000000	0.000250	0.001131	0.004087	0.644897	0.773771	
56.000000	0.000250	0.001120	0.001089	0.656867	0.806557	
57.000000	0.000250	0.001105	0.002183	0.664150	0.806557	
58.000000	0.000250	0.001088	0.002116	0.681536	0.767213	
59.000000	0.000250	0.001105	0.001074	0.669809	0.801639	
60.000000	0.000250	0.001081	0.002586	0.681271	0.772131	
61.000000	0.000025	0.000953	0.000932	0.711505	0.859016	
62.000000	0.000025	0.000926	0.000914	0.718929	0.862295	
63.000000	0.000025	0.000916	0.000912	0.718575	0.863934	
64.000000	0.000025	0.000931	0.000914	0.722258	0.863934	
65.000000	0.000025	0.000899	0.000903	0.749445	0.870492	
66.000000	0.000025	0.000899	0.000909	0.737198	0.867213	
67.000000	0.000025	0.000922	0.000908	0.730242	0.860656	
68.000000	0.000025	0.000895	0.000907	0.744339	0.859016	
69.000000	0.000025	0.000894	0.000903	0.742348	0.860656	
70.000000	0.000025	0.000894	0.000911	0.741221	0.870492	
71.000000	0.000025	0.000890	0.000901	0.740584	0.868852	
